Width,Height
1920,869
1371,855,1736277976890
1370,854,1736277976900
1369,852,1736277976900
1368,849,1736277976912
1365,840,1736277976923
1360,824,1736277976923
1359,815,1736277976933
1352,795,1736277976943
1348,779,1736277976952
1342,756,1736277976961
1336,732,1736277976971
1330,688,1736277976980
1328,656,1736277976990
1320,546,1736277977000
1316,492,1736277977009
1312,450,1736277977018
1306,408,1736277977028
1300,378,1736277977037
1298,363,1736277977047
1297,360,1736277977056
1297,361,1736277977102
1298,363,1736277977113
1302,369,1736277977122
1304,372,1736277977132
1306,375,1736277977141
1309,379,1736277977150
1310,382,1736277977159
1313,391,1736277977168
1315,400,1736277977177
1318,410,1736277977187
1321,423,1736277977196
1322,435,1736277977205
1324,452,1736277977215
1326,502,1736277977224
1326,528,1736277977234
1326,550,1736277977243
1326,600,1736277977254
1326,624,1736277977263
1323,630,1736277977272
1322,638,1736277977282
1322,646,1736277977291
1322,645,1736277977326
1322,644,1736277977399
1322,642,1736277977412
1322,638,1736277977422
1322,634,1736277977431
1322,626,1736277977440
1321,622,1736277977450
1320,618,1736277977460
1319,615,1736277977470
1317,612,1736277977480
1315,609,1736277977489
1313,606,1736277977499
1312,605,1736277977508
1312,604,1736277977518
1312,603,1736277977528
1311,603,1736277977537
1311,602,1736277977568
1312,602,1736277977648
1312,601,1736277977666
1312,600,1736277977684
1312,598,1736277977693
1312,597,1736277977705
1310,594,1736277977714
1308,591,1736277977724
1305,588,1736277977737
1303,585,1736277977737
1302,581,1736277977746
1301,578,1736277977755
1300,574,1736277977765
1299,568,1736277977774
1299,563,1736277977784
1298,560,1736277977794
1298,556,1736277977803
1298,550,1736277977813
1298,520,1736277977822
1302,503,1736277977831
1308,471,1736277977841
1312,445,1736277977850
1320,385,1736277977860
1320,353,1736277977870
1320,309,1736277977879
1320,277,1736277977889
1320,237,1736277977898
1320,173,1736277977907
1320,141,1736277977917
1320,132,1736277977926
1320,120,1736277977935
1320,116,1736277977945
1320,117,1736277977999
1321,122,1736277978011
1322,134,1736277978020
1324,154,1736277978029
1326,172,1736277978039
1328,233,1736277978048
1328,255,1736277978056
1328,281,1736277978067
1324,313,1736277978075
1318,337,1736277978085
1308,386,1736277978094
1306,412,1736277978103
1304,436,1736277978113
1302,454,1736277978123
1302,470,1736277978132
1300,504,1736277978142
1300,512,1736277978153
1300,519,1736277978162
1299,524,1736277978174
1300,524,1736277978326
1301,524,1736277978393
1301,524,1736277978430
1302,524,1736277978445
1303,525,1736277978456
1304,526,1736277978466
1304,527,1736277978475
1304,528,1736277978485
1304,529,1736277978495
1301,534,1736277978504
1299,539,1736277978514
1293,545,1736277978524
1288,553,1736277978533
1282,560,1736277978542
1276,566,1736277978553
1255,595,1736277978562
1246,608,1736277978572
1245,610,1736277978581
1244,612,1736277978590
1245,611,1736277978641
1245,610,1736277978653
1245,609,1736277978663
1246,607,1736277978671
1247,605,1736277978680
1248,600,1736277978690
1249,598,1736277978699
1249,597,1736277978708
1250,595,1736277978718
1250,593,1736277978728
1250,592,1736277978737
1250,591,1736277978749
1249,589,1736277978749
1248,587,1736277978760
1247,584,1736277978772
1245,581,1736277978772
1243,576,1736277978783
1240,572,1736277978794
1239,572,1736277978805
