Width,Height
1920,869
1915,237,1736273599007
1916,237,1736273599016
1917,237,1736273599024
1896,669,1736273600707
1888,661,1736273600720
1882,655,1736273600728
1875,649,1736273600736
1873,645,1736273600744
1863,637,1736273600752
1841,615,1736273600760
1827,599,1736273600767
1803,577,1736273600775
1787,563,1736273600783
1776,552,1736273600791
1754,532,1736273600798
1747,527,1736273600806
1732,513,1736273600814
1714,503,1736273600821
1704,496,1736273600830
1687,484,1736273600837
1679,477,1736273600845
1672,473,1736273600853
1667,469,1736273600862
1662,466,1736273600870
1657,462,1736273600878
1651,457,1736273600885
1648,453,1736273600893
1642,447,1736273600901
1637,443,1736273600909
1634,441,1736273600917
1633,440,1736273600926
1631,439,1736273600934
1630,438,1736273600946
1629,437,1736273600954
1627,436,1736273600963
1624,434,1736273600971
1621,432,1736273600979
1619,430,1736273600988
1615,428,1736273600996
1610,424,1736273601004
1607,422,1736273601012
1605,420,1736273601020
1604,419,1736273601028
1603,419,1736273601036
1602,418,1736273601081
1601,418,1736273601093
1600,417,1736273601101
1599,416,1736273601110
1598,415,1736273601118
1597,415,1736273601126
1596,414,1736273601134
1595,414,1736273601146
1595,413,1736273601155
1594,413,1736273601166
1594,412,1736273601345
1594,411,1736273601358
1595,409,1736273601366
1596,407,1736273601375
1597,405,1736273601383
1599,403,1736273601392
1602,394,1736273601400
1603,390,1736273601408
1606,385,1736273601416
1607,380,1736273601424
1610,370,1736273601432
1611,363,1736273601440
1612,357,1736273601448
1614,351,1736273601457
1616,343,1736273601465
1618,337,1736273601473
1620,334,1736273601481
1621,332,1736273601489
1622,329,1736273601497
1622,328,1736273601505
1623,326,1736273601513
1624,324,1736273601521
1625,321,1736273601530
1625,320,1736273601548
1625,319,1736273602193
1625,317,1736273602207
1624,306,1736273602216
1623,298,1736273602225
1620,292,1736273602234
1618,288,1736273602243
1618,286,1736273602251
1617,284,1736273602259
1616,281,1736273602267
1616,280,1736273602275
1616,279,1736273602283
1615,278,1736273602291
1615,277,1736273602507
1615,277,1736273602521
1615,277,1736273603357
1613,276,1736273603370
1610,276,1736273603378
1607,275,1736273603386
1605,275,1736273603394
1603,275,1736273603404
1601,275,1736273603412
1600,275,1736273603420
1599,275,1736273603428
1598,275,1736273603438
1597,275,1736273603472
1597,274,1736273603545
1596,274,1736273603648
1596,274,1736273603660
1595,274,1736273603668
1594,273,1736273603677
1593,273,1736273603685
1592,273,1736273603693
1591,273,1736273603701
1590,273,1736273603708
1589,273,1736273603717
1588,273,1736273603724
1587,273,1736273603732
1585,273,1736273603740
1582,273,1736273603748
1580,272,1736273603757
1577,272,1736273603765
1576,272,1736273603773
1576,271,1736273603781
1576,271,1736273603939
1579,271,1736273603952
1580,271,1736273603960
1582,270,1736273603968
1583,270,1736273603977
1585,270,1736273603990
1586,270,1736273603999
1588,270,1736273604007
1589,270,1736273604020
1589,269,1736273604028
1590,269,1736273604036
1591,269,1736273604046
1591,270,1736273604126
1591,271,1736273604138
1591,272,1736273604147
1592,273,1736273604156
1592,274,1736273604577
1591,274,1736273604589
1590,274,1736273604597
1589,274,1736273604605
1588,274,1736273604613
1587,274,1736273604621
1586,274,1736273604629
1585,274,1736273605301
1581,274,1736273605314
1578,274,1736273605323
1577,274,1736273605331
1572,275,1736273605338
1567,275,1736273605346
1560,275,1736273605354
1549,275,1736273605363
1539,275,1736273605371
1519,275,1736273605378
1507,275,1736273605386
1478,273,1736273605394
1456,273,1736273605403
1432,271,1736273605411
1406,269,1736273605418
1388,267,1736273605426
1365,267,1736273605434
1343,265,1736273605442
1311,265,1736273605450
1291,263,1736273605459
1265,259,1736273605466
1245,257,1736273605474
1230,254,1736273605483
1201,248,1736273605491
1188,244,1736273605498
1175,241,1736273605506
1154,233,1736273605514
1134,227,1736273605523
1121,225,1736273605531
1107,222,1736273605539
1083,218,1736273605547
1065,214,1736273605555
1055,210,1736273605563
1038,205,1736273605571
1023,198,1736273605580
989,180,1736273605588
973,170,1736273605596
964,165,1736273605605
947,155,1736273605613
933,147,1736273605622
922,141,1736273605630
908,132,1736273605637
890,118,1736273605646
866,102,1736273605654
848,86,1736273605662
832,72,1736273605670
812,54,1736273605679
776,26,1736273605689
763,19,1736273605698
757,16,1736273605706
751,12,1736273605715
740,7,1736273605724
736,5,1736273605732
733,2,1736273605741
730,0,1736273605748
729,0,1736273605897
731,1,1736273605909
733,3,1736273605917
736,6,1736273605925
741,12,1736273605932
751,21,1736273605940
763,34,1736273605950
777,47,1736273605959
790,59,1736273605968
798,65,1736273605977
804,71,1736273605986
810,75,1736273605995
809,75,1736273606093
808,74,1736273606105
806,73,1736273606113
804,71,1736273606123
799,69,1736273606131
795,66,1736273606139
791,64,1736273606148
788,62,1736273606161
786,60,1736273606170
