Width,Height
1920,869
1341,398,1736277611705
1339,391,1736277611712
1337,383,1736277611719
1336,380,1736277611727
1336,379,1736277611734
1336,380,1736277611762
1336,384,1736277611773
1336,392,1736277611780
1339,405,1736277611787
1343,418,1736277611794
1344,427,1736277611801
1347,433,1736277611808
1348,435,1736277611815
1349,436,1736277611830
1350,436,1736277611841
1350,435,1736277611853
1350,433,1736277611866
1350,426,1736277611874
1347,414,1736277611881
1342,404,1736277611888
1339,395,1736277611895
1332,381,1736277611903
1330,378,1736277611910
1329,376,1736277611917
1329,377,1736277611956
1331,382,1736277611966
1337,390,1736277611974
1345,398,1736277611982
1362,412,1736277611989
1376,419,1736277611996
1392,427,1736277612003
1416,432,1736277612011
1429,434,1736277612017
1444,436,1736277612029
1448,436,1736277612036
1450,436,1736277612043
1448,436,1736277612064
1445,434,1736277612073
1429,426,1736277612079
1403,416,1736277612088
1385,406,1736277612095
1363,398,1736277612108
1343,390,1736277612115
1331,387,1736277612122
1328,387,1736277612129
1327,387,1736277612135
1328,387,1736277612157
1330,387,1736277612164
1340,390,1736277612175
1350,393,1736277612182
1359,396,1736277612188
1376,400,1736277612199
1386,401,1736277612206
1393,403,1736277612213
1396,404,1736277612220
1396,405,1736277612236
1396,406,1736277612243
1395,408,1736277612250
1392,411,1736277612259
1386,414,1736277612267
1374,417,1736277612273
1363,419,1736277612284
1356,419,1736277612291
1338,419,1736277612297
1330,417,1736277612303
1327,417,1736277612311
1324,415,1736277612319
1323,412,1736277612327
1323,409,1736277612335
1325,407,1736277612343
1328,405,1736277612351
1335,401,1736277612358
1341,400,1736277612365
1348,398,1736277612373
1372,398,1736277612381
1385,398,1736277612389
1402,400,1736277612397
1409,405,1736277612405
1414,409,1736277612413
1418,414,1736277612419
1419,423,1736277612427
1419,428,1736277612442
1418,435,1736277612450
1414,442,1736277612456
1408,446,1736277612463
1403,450,1736277612470
1399,451,1736277612478
1396,452,1736277612485
1390,452,1736277612491
1384,452,1736277612502
1372,448,1736277612510
1366,443,1736277612518
1355,434,1736277612526
1342,423,1736277612533
1328,411,1736277612540
1317,399,1736277612547
1306,387,1736277612554
1295,372,1736277612562
1292,366,1736277612575
