Width,Height
1920,869
522,184,1736277216428
521,185,1736277216489
516,194,1736277216538
486,227,1736277216584
468,235,1736277216629
466,230,1736277216674
466,213,1736277216716
471,206,1736277216758
480,196,1736277216801
481,194,1736277216843
481,192,1736277216887
481,192,1736277216985
474,202,1736277217036
462,219,1736277217081
443,242,1736277217123
432,251,1736277217166
430,253,1736277217209
424,254,1736277217252
412,259,1736277217295
405,261,1736277217338
370,272,1736277218368
370,273,1736277218477
368,294,1736277218527
363,321,1736277218572
362,327,1736277218615
362,328,1736277218658
361,330,1736277218700
361,330,1736277218771
357,347,1736277218818
354,354,1736277218860
443,358,1736277219901
443,359,1736277220033
454,390,1736277220086
485,416,1736277220129
485,417,1736277220171
483,417,1736277220214
486,411,1736277220257
490,408,1736277220299
499,420,1736277220341
506,443,1736277220385
507,450,1736277220428
513,452,1736277220471
519,450,1736277220513
557,455,1736277221428
555,452,1736277221478
553,448,1736277221537
553,447,1736277221633
570,416,1736277221681
634,357,1736277221724
715,308,1736277221767
721,302,1736277221809
721,301,1736277221867
699,259,1736277221909
680,151,1736277221952
692,87,1736277221994
726,61,1736277222036
817,54,1736277222078
875,84,1736277222120
891,174,1736277222162
835,332,1736277222204
725,478,1736277222246
694,498,1736277222288
694,497,1736277222365
712,484,1736277222411
742,475,1736277222453
865,428,1736277222496
1209,318,1736277222555
1491,318,1736277222597
1585,299,1736277222638
1713,275,1736277222679
1859,271,1736277222720
1919,224,1736277222762
1919,216,1736277222803
1919,201,1736277222844
1915,168,1736277222888
1914,152,1736277222930
1914,142,1736277222970
1914,141,1736277223011
1914,139,1736277223052
1915,136,1736277223092
1905,174,1736277224072
1873,192,1736277224120
1655,258,1736277224162
1542,260,1736277224204
1356,254,1736277224245
1174,254,1736277224287
1107,234,1736277224329
1120,228,1736277224370
1209,210,1736277224412
1429,188,1736277224453
1657,226,1736277224495
1731,275,1736277224536
1729,278,1736277224577
1726,280,1736277224618
1722,281,1736277224659
1709,261,1736277224700
1696,241,1736277224740
1695,240,1736277224782
1695,239,1736277224823
1696,238,1736277224823
1702,236,1736277224865
1774,278,1736277224908
1843,342,1736277224952
1835,411,1736277224994
1761,535,1736277225036
1720,581,1736277225077
1707,597,1736277225119
1697,601,1736277225160
1696,598,1736277225201
1689,591,1736277225242
1665,565,1736277225284
1650,561,1736277225326
1643,565,1736277225368
1637,565,1736277225409
1631,564,1736277225451
1593,562,1736277225492
1561,560,1736277225534
1559,560,1736277225576
